a_index	a_name	a_type	a_enable	a_sub	a_get_type	a_count	a_min_level	a_max_level	a_start_type	a_end_type	a_start_data	a_end_data	a_link	a_data0	a_data1	a_data2	a_data3	a_data4	a_data5	a_data6	a_data7	a_data8	a_data9	a_zone	a_prize	a_laim	a_exp	a_item0	a_item1	a_item2	a_item3	a_item4	a_item5	a_item6	a_item7	a_item8	a_string0	a_string1	a_string2	a_string3	a_string4	a_string5	
end of skip	
1	extra quests rid           King Chmero	0	1	0	2	0	20	25	0	0	228	228	-1	0	0	0	0	0	0	0	0	0	0	16	4	0	0	222	0	0	1	0	0	0	0	0	Details: Defeat King Chmero	One to One Place: Lagramia (220	 1100)	Condition: Quest starts automatically when the attack King Chmero	Quest: Magical Amethyst.		
25	Special quests eliminate Pro King Giant	0	1	1	2	1	35	40	0	0	229	229	-1	0	0	0	0	0	0	0	0	0	0	1	4	0	0	223	0	0	1	0	0	0	0	0	Description: eliminate Pro King Giant	Location: Decardi (380	 530)	Condition: the quest begins when the King attacked Giant Pro.	Quest reward: Magical topaz		
26	Giant Battle King limited special quests	0	1	2	2	2	50	55	0	0	230	230	-1	0	0	0	0	0	0	0	0	0	0	1	4	0	0	224	0	0	1	0	0	0	0	0	Description: Defeat King Battle Giant.	Location: Decardi (520	 1030)	Conditions: The quest began when attacked King Battle Giant.	Quest reward: Magical opal		
27	Silver special quests of Deckadun.	1	1	0	2	3	50	100	0	0	253	253	-1	0	0	0	0	0	0	0	0	0	0	4	4	0	0	901	0	0	1	0	0	0	0	0	Description: Eliminate Master Kabal and bracelets.	Location: Deckadun 2 (420.	110)	Conditions: The quest began when attacking Master Cabal.	Quest reward: the Bracelet of Deckadun (while dressed in Deckadun will be more harmony)		
28	Quest King Cobra rid of the Lost Realm.	0	0	3	0	3	0	0	2	2	922	24	-1	5	10	10000	15000	100	200	0	0	0	0	16	7	10000	20000	922	0	0	1	0	0	0	0	0	Description: Defeat King Battle Giant.	Location: Decardi (x	z)	Conditions: The quest began when attacked King Battle Giant.	Quest reward: Magical opal		
29	Special quests chain of life.	1	1	1	2	4	26	30	1	1	0	33	-1	26	37	41	0	0	50	5	2	0	0	1	6	0	300	-2	939	3	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Decardi	Quest reward: Necklace of Vitality lv. 3 (Life increased by 50 points).	After The mission can not get it anymore.	Necklace awards received Can be used until the level level 40?		
30	Special quests to find the ring of power.	1	1	2	2	5	41	45	1	1	0	33	-1	54	106	48	0	0	20	10	5	0	0	1	6	0	1000	-2	937	1536	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Decardi	Quest Reward: Ring of Hercules lv. 3 (strength, up 3 points).	After The mission can not get it anymore.	Award rings that have been able to use it until the level level 60.		
31	Special quests chain of strength.	1	1	3	2	6	61	65	1	1	0	33	-1	58	61	0	0	0	40	10	0	0	0	2	6	0	2500	-2	940	256	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Dekaren	Quest reward: Necklace of energy lv. 4 (gaining 100 points).	After The mission can not get it anymore.	Necklace awards received Available till level 80 LV		
32	Quest special awards from the bracelets.	1	1	4	2	8	100	300	2	1	901	33	-1	81	82	0	0	0	20	20	0	0	0	4	0	2000000	0	0	0	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Deckadun	After The mission can not get it anymore.	Bracelet of Deckadun drop in the exchange on mission success.	Go to Npc Archeologist and press Identify Ancient Scroll	¶óÀÓÀ¸·Î ±³È¯ÇØ ÁÝ´Ï´Ù.	
33	Special quests magic of the Restoration.	1	1	5	2	20	105	140	2	1	922	33	-1	62	120	119	0	0	10	10	10	0	0	2	4	0	0	-1	24	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Dekaren	Prizes Quest: Ancient Ring (refresh rate while using 10%).	After The mission can not get it anymore.	To receive the mission to add the optional You must Ring Ancient mission success.		
34	Special quests Ancient Ring	1	1	6	2	9	141	170	1	1	0	33	-1	125	154	156	157	0	40	15	10	10	0	8	4	0	0	933	0	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Shilon	Prizes Quest: Ancient Ring.	After The mission can not get it anymore.	Ancient Ring can be used until the level level 170.		
35	Special quests magic of the Restoration.	1	1	7	2	20	141	170	2	1	933	33	-1	121	123	127	128	0	20	20	15	10	0	2	4	0	0	-1	24	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Dekaren	Prizes Quest: Ancient Ring (refresh rate while using 10%).	After The mission can not get it anymore.	To receive the mission to add the optional You must Ring Ancient mission success.		
36	Special quests for new opportunities.	1	1	8	2	10	141	170	2	1	933	33	-1	155	158	0	0	0	20	2	0	0	0	8	4	0	0	-3	0	0	1	0	0	0	0	0	Description: Defeat the monsters there.	Location: Shilon	Quest reward: one free redistribution chance.	After The mission can not get it anymore.	NULL		
